Invoice/Item Number,Date,Store Number,City,Zip Code,Item Number,Item Description,Pack,Bottle Volume (ml),Bottles Sold,Sale (Dollars),Volume Sold (Liters)
INV-11216700011,03/30/2018,3857,Waukon,52172,25607,Seagrams 7 Crown Bl Whiskey,12,1000,1,$144.00,1.00
INV-11216700010,03/30/2018,3857,Waukon,52172,73053,Rumchata,6,1000,1,$147.06,1.00
INV-11216700009,03/30/2018,3857,Waukon,52172,52599,E & J Vs Brandy Round,12,1000,1,$130.32,1.00
INV-11216700008,03/30/2018,3857,Waukon,52172,1799,Captain Morgan Spiced Barrel,6,1750,1,$162.00,1.75
INV-11216700007,03/30/2018,3857,Waukon,52172,43337,Captain Morgan Spiced Rum,12,1000,2,$211.56,2.00
INV-11216700006,03/30/2018,3857,Waukon,52172,11297,Crown Royal Canadian Whisky,12,1000,1,$340.08,1.00
INV-11216700005,03/30/2018,3857,Waukon,52172,69638,Dr. Mcgillicuddy's Cherry Schnapps,6,1750,1,$131.94,1.75
INV-11216700004,03/30/2018,3857,Waukon,52172,64867,Fireball Cinnamon Whiskey,12,1000,1,$204.12,1.00
INV-11216700003,03/30/2018,3857,Waukon,52172,86888,Southern Comfort PET,6,1750,1,$182.34,1.75
INV-11216700002,03/30/2018,3857,Waukon,52172,42717,Malibu Coconut Rum,12,1000,1,$188.88,1.00
INV-11216700001,03/30/2018,3857,Waukon,52172,34007,Absolut Swedish Vodka 80 Prf,12,1000,1,$269.88,1.00
INV-11216600041,03/30/2018,3721,Decorah,52101,75226,Kinky Red Liqueur,12,750,1,$180.00,0.75
INV-11216600040,03/30/2018,3721,Decorah,52101,88148,Montezuma White Tequila,6,1750,1,$115.20,1.75
INV-11216600039,03/30/2018,3721,Decorah,52101,36650,Caliber Vodka,6,1750,2,$62.28,3.50
INV-11216600038,03/30/2018,3721,Decorah,52101,36648,Caliber Vodka,12,750,1,$59.64,0.75
INV-11216600037,03/30/2018,3721,Decorah,52101,18856,Larceny,6,750,1,$130.50,0.75
INV-11216600036,03/30/2018,3721,Decorah,52101,36576,Svedka Blue Raspberry Vodka,12,750,1,$148.56,0.75
INV-11216600035,03/30/2018,3721,Decorah,52101,11371,Serpent's Bite Apple Cider,12,750,1,$161.64,0.75
INV-11216600034,03/30/2018,3721,Decorah,52101,10807,Crown Royal Regal Apple,12,750,1,$280.68,0.75
INV-11216600033,03/30/2018,3721,Decorah,52101,58875,Jose Cuervo Golden Margarita,6,1750,1,$99.36,1.75
INV-11216600032,03/30/2018,3721,Decorah,52101,58838,Jose Cuervo Authentic Lime Margarita,6,1750,1,$78.66,1.75
INV-11216600031,03/30/2018,3721,Decorah,52101,68037,Baileys Original Irish Cream,12,1000,1,$297.00,1.00
INV-11215800007,03/30/2018,3930,St Lucas,52166,42717,Malibu Coconut Rum,12,1000,1,$188.88,1.00
INV-11215800006,03/30/2018,3930,St Lucas,52166,69638,Dr. Mcgillicuddy's Cherry Schnapps,6,1750,1,$131.94,1.75
INV-11215800005,03/30/2018,3930,St Lucas,52166,11777,Black Velvet,12,1000,1,$119.40,1.00
INV-11215800004,03/30/2018,3930,St Lucas,52166,10628,Canadian Club Whisky,6,1750,1,$127.56,1.75
INV-11215800003,03/30/2018,3930,St Lucas,52166,34007,Absolut Swedish Vodka 80 Prf,12,1000,1,$269.88,1.00
INV-11215800002,03/30/2018,3930,St Lucas,52166,36308,Hawkeye Vodka,6,1750,1,$64.56,1.75
INV-11215800001,03/30/2018,3930,St Lucas,52166,43138,Bacardi Limon,6,1750,1,$135.00,1.75
INV-11215700046,03/30/2018,3717,Sumner,50674,11294,Crown Royal Canadian Whisky,24,375,2,$12.00,0.75
INV-11215700045,03/30/2018,3717,Sumner,50674,12404,Canadian Ltd Whisky,24,375,4,$3.08,1.50
INV-11215700044,03/30/2018,3717,Sumner,50674,43848,Ronrico Silver Label Rum (pr),6,1750,2,$11.03,3.50
INV-11215700043,03/30/2018,3717,Sumner,50674,41694,Uv Blue (raspberry) Vodka,12,1000,4,$11.25,4.00
INV-11215700042,03/30/2018,3717,Sumner,50674,34007,Absolut Swedish Vodka 80 Prf,12,1000,2,$22.49,2.00
INV-11215700041,03/30/2018,3717,Sumner,50674,45887,Sailor Jerry Spiced Navy Rum,12,1000,1,$17.67,1.00
INV-11215700040,03/30/2018,3717,Sumner,50674,43127,Bacardi Superior Rum,12,1000,3,$14.25,3.00
INV-11215700039,03/30/2018,3717,Sumner,50674,81196,Paramount Peppermint Schnapps Traveler,12,750,2,$6.00,1.50
INV-11215700038,03/30/2018,3717,Sumner,50674,68036,Baileys Original Irish Cream,12,750,2,$18.75,1.50
INV-11215700037,03/30/2018,3717,Sumner,50674,37994,Smirnoff 80prf,24,375,4,$7.13,1.50
INV-11215700036,03/30/2018,3717,Sumner,50674,23277,Calvert Extra Bl Whiskey,12,1000,3,$10.32,3.00
INV-11215700035,03/30/2018,3717,Sumner,50674,86887,Southern Comfort,12,1000,2,$19.46,2.00
INV-11215700034,03/30/2018,3717,Sumner,50674,16987,Bourbon Supreme Bourbon,12,1000,2,$7.05,2.00
INV-11215700033,03/30/2018,3717,Sumner,50674,89197,Jose Cuervo Especial Reposado Tequila,12,1000,1,$19.50,1.00
INV-11215700032,03/30/2018,3717,Sumner,50674,67527,Kahlua Coffee Liqueur,12,1000,1,$22.49,1.00
INV-11215700031,03/30/2018,3717,Sumner,50674,80578,Arrow Peppermint Schnapps,6,1750,1,$10.50,1.75
INV-11215700030,03/30/2018,3717,Sumner,50674,69637,Dr. Mcgillicuddy's Cherry Schnapps,12,1000,2,$16.50,2.00
INV-11215700029,03/30/2018,3717,Sumner,50674,41707,Phillips Lime Vodka,12,1000,1,$8.67,1.00
INV-11215700028,03/30/2018,3717,Sumner,50674,10807,Crown Royal Regal Apple,12,750,1,$23.39,0.75
INV-11215700027,03/30/2018,3717,Sumner,50674,43128,Bacardi Superior Rum,6,1750,1,$22.50,1.75
INV-11215700026,03/30/2018,3717,Sumner,50674,11588,Black Velvet Reserve,6,1750,1,$19.49,1.75
INV-11215700025,03/30/2018,3717,Sumner,50674,1799,Captain Morgan Spiced Barrel,6,1750,2,$27.00,3.50
INV-11215700024,03/30/2018,3717,Sumner,50674,78456,Paramount Creme De Cacao/dark,12,750,2,$7.50,1.50
INV-11215700023,03/30/2018,3717,Sumner,50674,81207,Paramount Peppermint Schnapps,12,1000,2,$6.09,2.00
INV-11215700022,03/30/2018,3717,Sumner,50674,28867,Tanqueray Gin,12,1000,1,$23.25,1.00
INV-11215700021,03/30/2018,3717,Sumner,50674,57144,Chi-Chi's White Russian,6,1750,1,$9.75,1.75
INV-11215700020,03/30/2018,3717,Sumner,50674,55087,Paramount Blackberry Brandy,12,1000,1,$9.80,1.00
INV-11215700019,03/30/2018,3717,Sumner,50674,11298,Crown Royal Canadian Whisky,6,1750,1,$47.99,1.75
INV-11215700018,03/30/2018,3717,Sumner,50674,85606,Paramount Blue Curacao,12,750,2,$7.50,1.50
INV-11215700017,03/30/2018,3717,Sumner,50674,26828,Jack Daniels Old #7 Black Lbl,6,1750,1,$46.02,1.75
INV-11215700016,03/30/2018,3717,Sumner,50674,86888,Southern Comfort PET,6,1750,1,$30.39,1.75
INV-11215700015,03/30/2018,3717,Sumner,50674,82147,Arrow Raspberry Schnapps,12,1000,1,$7.50,1.00
INV-11215700014,03/30/2018,3717,Sumner,50674,69611,Dr. Mcgillicuddy's Apple Pie Schnapps,12,750,1,$12.99,0.75
INV-11215700013,03/30/2018,3717,Sumner,50674,73456,Dekuyper Luscious Razzmatazz,12,750,2,$9.71,1.50
INV-11215700012,03/30/2018,3717,Sumner,50674,80687,Dekuyper Blustery Peppermint Burst,12,1000,2,$11.81,2.00
INV-11215300020,03/30/2018,4147,Cedar Falls,50613,38081,Platinum 7x Vodka Mini,10,600,1,$9.00,0.60
INV-11215300019,03/30/2018,4147,Cedar Falls,50613,36308,Hawkeye Vodka,6,1750,2,$64.56,3.50
INV-11215300018,03/30/2018,4147,Cedar Falls,50613,35916,Five O'clock Vodka,12,750,1,$60.72,0.75
INV-11215300017,03/30/2018,4147,Cedar Falls,50613,31658,Paramount Gin,6,1750,1,$64.02,1.75
INV-11215300016,03/30/2018,4147,Cedar Falls,50613,57144,Chi-Chi's White Russian,6,1750,1,$58.50,1.75
INV-11215300015,03/30/2018,4147,Cedar Falls,50613,37348,Phillips Vodka,6,1750,2,$68.40,3.50
INV-11215300014,03/30/2018,4147,Cedar Falls,50613,41692,Uv Blue (raspberry) Vodka,6,1750,1,$98.94,1.75
INV-11215300013,03/30/2018,4147,Cedar Falls,50613,42716,Malibu Coconut Rum,12,750,1,$134.88,0.75
INV-11215300012,03/30/2018,4147,Cedar Falls,50613,42984,Trader Vics Private Selection Spiced Rum,6,1750,1,$90.00,1.75
INV-11215300011,03/30/2018,4147,Cedar Falls,50613,11776,Black Velvet,12,750,1,$94.20,0.75
INV-11215300010,03/30/2018,4147,Cedar Falls,50613,25608,Seagrams 7 Crown Bl Whiskey,6,1750,1,$107.64,1.75
INV-11215300009,03/30/2018,4147,Cedar Falls,50613,31473,New Amsterdam Gin,6,1750,1,$126.00,1.75
INV-11215300008,03/30/2018,4147,Cedar Falls,50613,37998,Smirnoff 80prf,6,1750,1,$132.78,1.75
INV-11215300007,03/30/2018,4147,Cedar Falls,50613,11788,Black Velvet,6,1750,6,$94.08,10.50
INV-11215300006,03/30/2018,4147,Cedar Falls,50613,43128,Bacardi Superior Rum,6,1750,2,$135.00,3.50
INV-11215300005,03/30/2018,4147,Cedar Falls,50613,26826,Jack Daniels Old #7 Black Lbl,12,750,2,$280.32,1.50
INV-11215300004,03/30/2018,4147,Cedar Falls,50613,38176,Titos Handmade Vodka,12,750,12,$173.52,9.00
INV-11215300003,03/30/2018,4147,Cedar Falls,50613,38178,Titos Handmade Vodka,6,1750,8,$166.62,14.00
INV-11215300002,03/30/2018,4147,Cedar Falls,50613,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,1,$45.00,3.00
INV-11215300001,03/30/2018,4147,Cedar Falls,50613,58845,Jose Cuervo Authentic Berry Punch,6,1750,1,$78.66,1.75
INV-11215200015,03/30/2018,5426,Cedar Falls,50613,35918,Five O'clock Vodka,6,1750,2,$64.80,3.50
INV-11215200014,03/30/2018,5426,Cedar Falls,50613,11788,Black Velvet,6,1750,1,$94.08,1.75
INV-11215200013,03/30/2018,5426,Cedar Falls,50613,11786,Black Velvet Traveler,12,750,1,$94.20,0.75
INV-11215200012,03/30/2018,5426,Cedar Falls,50613,37994,Smirnoff 80prf,24,375,1,$171.12,0.37
INV-11215200011,03/30/2018,5426,Cedar Falls,50613,36308,Hawkeye Vodka,6,1750,1,$64.56,1.75
INV-11215200010,03/30/2018,5426,Cedar Falls,50613,35926,Five O'clock PET Vodka,12,750,1,$60.72,0.75
INV-11215200009,03/30/2018,5426,Cedar Falls,50613,18116,Evan Williams Traveler,12,750,1,$139.32,0.75
INV-11215200008,03/30/2018,5426,Cedar Falls,50613,64865,Fireball Cinnamon Whiskey PET,12,750,1,$161.64,0.75
INV-11215200007,03/30/2018,5426,Cedar Falls,50613,64870,Fireball Cinnamon,48,100,2,$64.80,0.20
INV-11215200006,03/30/2018,5426,Cedar Falls,50613,1799,Captain Morgan Spiced Barrel,6,1750,1,$162.00,1.75
INV-11215200005,03/30/2018,5426,Cedar Falls,50613,43337,Captain Morgan Spiced Rum,12,1000,1,$211.56,1.00
INV-11215200004,03/30/2018,5426,Cedar Falls,50613,89194,Jose Cuervo Especial Reposado Flask,24,375,10,$8.25,3.75
INV-11215200003,03/30/2018,5426,Cedar Falls,50613,34006,Absolut Swedish Vodka 80 Prf,12,750,1,$206.88,0.75
INV-11215200002,03/30/2018,5426,Cedar Falls,50613,34004,Absolut Swedish Vodka 80 Prf,24,375,1,$233.76,0.37
INV-11215200001,03/30/2018,5426,Cedar Falls,50613,69940,Rumple Minze Peppermint Mini,12,500,3,$20.25,1.50
INV-11215100088,03/30/2018,4947,Cedar Falls,50647,66199,Piehole Apple Pie Mini,12,500,1,$7.35,0.50
INV-11215100087,03/30/2018,4947,Cedar Falls,50647,67522,Kahlua Coffee Liqueur Mini,12,500,1,$9.90,0.50
INV-11215100086,03/30/2018,4947,Cedar Falls,50647,27390,Jim Beam Maple Mini,12,500,1,$8.10,0.50
INV-11215100085,03/30/2018,4947,Cedar Falls,50647,26821,Jack Daniels Old #7 Black Lbl Mini,12,500,1,$13.59,0.50
INV-11215100084,03/30/2018,4947,Cedar Falls,50647,36301,Hawkeye Vodka 80 Prf Mini,12,500,1,$6.20,0.50
INV-11215100083,03/30/2018,4947,Cedar Falls,50647,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,1,$45.00,3.00
INV-11215100082,03/30/2018,4947,Cedar Falls,50647,10803,Crown Royal Regal Apple Mini,10,300,1,$11.03,0.30
INV-11215100081,03/30/2018,4947,Cedar Falls,50647,11290,Crown Royal Canadian Whisky Mini,10,300,2,$11.03,0.60
INV-11215100080,03/30/2018,4947,Cedar Falls,50647,43331,Captain Morgan Spiced Rum Mini,12,500,1,$7.20,0.50
INV-11215100079,03/30/2018,4947,Cedar Falls,50647,43349,Captain Morgan Pineapple Mini,12,500,1,$7.20,0.50
INV-11215100078,03/30/2018,4947,Cedar Falls,50647,43031,Bacardi Gold Rum Mini,12,500,1,$8.31,0.50
INV-11215100077,03/30/2018,4947,Cedar Falls,50647,34001,Absolut Swedish Vodka 80 Prf Mini,10,600,1,$11.88,0.60
INV-11215100076,03/30/2018,4947,Cedar Falls,50647,67266,Yukon Jack Canadian Liqueur,12,750,2,$13.88,1.50
INV-11215100075,03/30/2018,4947,Cedar Falls,50647,67264,Yukon Jack Canadian Liqueur,24,375,4,$7.88,1.50
INV-11215100074,03/30/2018,4947,Cedar Falls,50647,41704,Uv Red (cherry) Vodka,12,750,3,$9.75,2.25
INV-11215100073,03/30/2018,4947,Cedar Falls,50647,41989,Uv Cake Vodka,12,750,3,$9.75,2.25
INV-11215100072,03/30/2018,4947,Cedar Falls,50647,41688,Uv Blue Raspberry Vodka Traveller,12,750,3,$9.75,2.25
INV-11215100071,03/30/2018,4947,Cedar Falls,50647,15940,Tullamore Dew Irish Whisky,12,750,4,$22.50,3.00
INV-11215100070,03/30/2018,4947,Cedar Falls,50647,38176,Titos Handmade Vodka,12,750,1,$173.52,0.75
INV-11215100069,03/30/2018,4947,Cedar Falls,50647,28865,Tanqueray Gin,24,375,3,$10.49,1.12
INV-11215100068,03/30/2018,4947,Cedar Falls,50647,34821,Svedka Vodka,6,1750,2,$19.50,3.50
INV-11215100067,03/30/2018,4947,Cedar Falls,50647,86885,Southern Comfort PET,12,750,3,$15.50,2.25
INV-11215100066,03/30/2018,4947,Cedar Falls,50647,86884,Southern Comfort,24,375,6,$7.17,2.25
INV-11215100065,03/30/2018,4947,Cedar Falls,50647,86883,Southern Comfort,48,200,6,$3.96,1.20
INV-11215100064,03/30/2018,4947,Cedar Falls,50647,37993,Smirnoff 80prf,48,200,6,$3.81,1.20
INV-11215100063,03/30/2018,4947,Cedar Falls,50647,37938,Skol Vodka,6,1750,1,$64.02,1.75
INV-11215100062,03/30/2018,4947,Cedar Falls,50647,11371,Serpent's Bite Apple Cider,12,750,2,$13.47,1.50
INV-11215100061,03/30/2018,4947,Cedar Falls,50647,37886,Seagrams Vodka,12,750,1,$96.84,0.75
INV-11215100060,03/30/2018,4947,Cedar Falls,50647,32235,Seagrams Extra Dry Gin Pet,12,750,4,$9.74,3.00
INV-11215100059,03/30/2018,4947,Cedar Falls,50647,32233,Seagrams Extra Dry Gin,48,200,3,$2.99,0.60
INV-11215100058,03/30/2018,4947,Cedar Falls,50647,32234,Seagrams Extra Dry Gin,24,375,3,$5.09,1.12
INV-11215100057,03/30/2018,4947,Cedar Falls,50647,25603,Seagrams 7 Crown Bl Whiskey,48,200,2,$2.99,0.40
INV-11215100056,03/30/2018,4947,Cedar Falls,50647,10006,Scoresby Rare Scotch,12,750,3,$7.70,2.25
INV-11215100055,03/30/2018,4947,Cedar Falls,50647,45884,Sailor Jerry Spiced Navy Rum,24,375,2,$7.20,0.75
INV-11215100054,03/30/2018,4947,Cedar Falls,50647,69946,Rumple Minze Peppermint Schnapps Liqueur,12,750,2,$19.50,1.50
INV-11215100053,03/30/2018,4947,Cedar Falls,50647,14484,Revel Stoke Roasted Apple,12,750,3,$11.39,2.25
INV-11215100052,03/30/2018,4947,Cedar Falls,50647,14474,Revel Stoke Roasted Pecan,12,750,2,$11.28,1.50
INV-11215100051,03/30/2018,4947,Cedar Falls,50647,34579,Pinnacle Vodka,12,750,2,$11.03,1.50
INV-11215100050,03/30/2018,4947,Cedar Falls,50647,37356,Phillips Vodka Ez Pack,12,750,1,$64.32,0.75
INV-11215100049,03/30/2018,4947,Cedar Falls,50647,36034,Pearl Peach,12,750,3,$10.50,2.25
INV-11215100048,03/30/2018,4947,Cedar Falls,50647,53214,Paul Masson Grande Amber Brandy,24,375,2,$4.83,0.75
INV-11215100047,03/30/2018,4947,Cedar Falls,50647,45274,Paramount White Rum,24,375,2,$4.44,0.75
INV-11215100046,03/30/2018,4947,Cedar Falls,50647,45245,Paramount Gold Rum Traveler,12,750,4,$6.00,3.00
INV-11217000006,03/30/2018,4973,West Union,52175,25606,Seagrams 7 Crown Bl Whiskey,12,750,1,$126.00,0.75
INV-11217000005,03/30/2018,4973,West Union,52175,82605,Dekuyper Sour Apple Pucker PET,12,750,1,$116.52,0.75
INV-11217000004,03/30/2018,4973,West Union,52175,69638,Dr. Mcgillicuddy's Cherry Schnapps,6,1750,2,$131.94,3.50
INV-11217000003,03/30/2018,4973,West Union,52175,10550,Black Velvet Toasted Caramel,12,750,1,$121.56,0.75
INV-11217000002,03/30/2018,4973,West Union,52175,42716,Malibu Coconut Rum,12,750,1,$134.88,0.75
INV-11217000001,03/30/2018,4973,West Union,52175,11298,Crown Royal Canadian Whisky,6,1750,1,$287.94,1.75
INV-11216900037,03/30/2018,5017,Lansing,52151,80574,Arrow Peppermint Schnapps,24,375,2,$3.39,0.75
INV-11216900036,03/30/2018,5017,Lansing,52151,45274,Paramount White Rum,24,375,3,$4.44,1.12
INV-11216900035,03/30/2018,5017,Lansing,52151,64864,Fireball Cinnamon Whisky,24,375,2,$8.00,0.75
INV-11216900034,03/30/2018,5017,Lansing,52151,11774,Black Velvet,24,375,5,$4.61,1.87
INV-11216900033,03/30/2018,5017,Lansing,52151,52594,E & J Vs Brandy,24,375,1,$5.24,0.37
INV-11216900032,03/30/2018,5017,Lansing,52151,43334,Captain Morgan Spiced Rum,24,375,2,$7.50,0.75
INV-11216900031,03/30/2018,5017,Lansing,52151,89199,Jose Cuervo Especial Reposado Square,12,375,2,$8.25,0.75
INV-11216900030,03/30/2018,5017,Lansing,52151,86250,Juarez Triple Sec,12,750,2,$4.01,1.50
INV-11216900029,03/30/2018,5017,Lansing,52151,79336,Paramount Creme De Menthe/green,12,750,1,$7.50,0.75
INV-11216900028,03/30/2018,5017,Lansing,52151,78456,Paramount Creme De Cacao/dark,12,750,1,$7.50,0.75
INV-11216900027,03/30/2018,5017,Lansing,52151,78866,Paramount Creme De Cacao/white,12,750,1,$7.50,0.75
INV-11216900026,03/30/2018,5017,Lansing,52151,88766,Tortilla White Tequila,12,750,2,$9.30,1.50
INV-11216900025,03/30/2018,5017,Lansing,52151,76036,Midnight Moon Apple Pie,6,750,1,$17.25,0.75
INV-11216900024,03/30/2018,5017,Lansing,52151,27544,Red Stag Black Cherry,12,750,2,$15.74,1.50
INV-11216900023,03/30/2018,5017,Lansing,52151,77776,Wild Turkey American Honey,12,750,2,$15.75,1.50
INV-11216900022,03/30/2018,5017,Lansing,52151,41989,Uv Cake Vodka,12,750,2,$9.75,1.50
INV-11216900021,03/30/2018,5017,Lansing,52151,39866,Smirnoff 100prf,12,750,2,$14.25,1.50
INV-11216900020,03/30/2018,5017,Lansing,52151,76486,Paramount Amaretto,12,750,2,$5.25,1.50
INV-11216900019,03/30/2018,5017,Lansing,52151,67556,Kamora Coffee Liqueur,12,750,2,$9.71,1.50
INV-11216900018,03/30/2018,5017,Lansing,52151,19476,Maker's Mark,12,750,2,$26.25,1.50
INV-11216900017,03/30/2018,5017,Lansing,52151,5290,J & B Rare Scotch,12,750,1,$18.38,0.75
INV-11216900016,03/30/2018,5017,Lansing,52151,8826,Lauder's Scotch,12,750,1,$7.70,0.75
INV-11216900015,03/30/2018,5017,Lansing,52151,34006,Absolut Swedish Vodka 80 Prf,12,750,3,$17.24,2.25
INV-11216900014,03/30/2018,5017,Lansing,52151,36904,Mccormick Vodka Pet,24,375,1,$64.80,0.37
INV-11216900013,03/30/2018,5017,Lansing,52151,18408,G & W Bourbon,6,1750,1,$99.90,1.75
INV-11216900012,03/30/2018,5017,Lansing,52151,45278,Paramount White Rum,6,1750,1,$70.56,1.75
INV-11216900011,03/30/2018,5017,Lansing,52151,56206,Paramount Peach Flavored Brandy,12,750,1,$98.64,0.75
INV-11216900010,03/30/2018,5017,Lansing,52151,58801,Captain Morgan Long Island Iced Tea,6,1750,1,$99.00,1.75
INV-11216900009,03/30/2018,5017,Lansing,52151,35918,Five O'clock Vodka,6,1750,1,$64.80,1.75
INV-11216900008,03/30/2018,5017,Lansing,52151,36306,Hawkeye Vodka,12,750,1,$60.12,0.75
INV-11216900007,03/30/2018,5017,Lansing,52151,36308,Hawkeye Vodka,6,1750,1,$64.56,1.75
INV-11216900006,03/30/2018,5017,Lansing,52151,41692,Uv Blue (raspberry) Vodka,6,1750,1,$98.94,1.75
INV-11216900005,03/30/2018,5017,Lansing,52151,35948,Fleischmann's Royal Vodka 80 Prf,6,1750,1,$64.62,1.75
INV-11216900004,03/30/2018,5017,Lansing,52151,52806,Korbel Brandy,12,750,1,$119.88,0.75
INV-11216900003,03/30/2018,5017,Lansing,52151,55106,Phillips Blackberry Brandy,12,750,1,$85.68,0.75
INV-11216900002,03/30/2018,5017,Lansing,52151,25606,Seagrams 7 Crown Bl Whiskey,12,750,1,$126.00,0.75
INV-11216900001,03/30/2018,5017,Lansing,52151,34821,Svedka Vodka,6,1750,1,$117.00,1.75
INV-11216800038,03/30/2018,2178,Waukon,52172,67595,Patron Xo Cafe,6,750,1,$21.00,0.75
INV-11216800037,03/30/2018,2178,Waukon,52172,34820,Svedka Vodka,12,750,1,$148.56,0.75
INV-11216800036,03/30/2018,2178,Waukon,52172,43027,Admiral Nelson Spiced Rum,12,1000,1,$131.04,1.00
INV-11216800035,03/30/2018,2178,Waukon,52172,15296,Windsor Canadian Traveler,12,750,1,$80.64,0.75
INV-11216800034,03/30/2018,2178,Waukon,52172,16987,Bourbon Supreme Bourbon,12,1000,1,$84.60,1.00
INV-11216800033,03/30/2018,2178,Waukon,52172,26823,Jack Daniels Old #7 Black Lbl,48,200,3,$6.35,0.60
INV-11216800032,03/30/2018,2178,Waukon,52172,52312,Christian Bros Brandy,24,200,2,$2.94,0.40
INV-11216800031,03/30/2018,2178,Waukon,52172,82187,Arrow Spearmint Schnapps,12,1000,1,$7.50,1.00
INV-11216800030,03/30/2018,2178,Waukon,52172,82836,Dekuyper Raspberry Pucker,12,750,1,$9.71,0.75
INV-11216800029,03/30/2018,2178,Waukon,52172,44499,Cruzan Mango Rum,12,750,1,$10.25,0.75
INV-11216800028,03/30/2018,2178,Waukon,52172,88116,Milagro Silver Tequila,6,750,1,$23.54,0.75
INV-11216800027,03/30/2018,2178,Waukon,52172,58860,Jose Cuervo Mango Margarita,6,1750,1,$13.11,1.75
INV-11216800026,03/30/2018,2178,Waukon,52172,55506,Paramount Cherry Flavored Brandy,12,750,3,$8.22,2.25
INV-11216800025,03/30/2018,2178,Waukon,52172,42676,Malibu Passion Fruit Rum,12,750,1,$11.24,0.75
INV-11216800024,03/30/2018,2178,Waukon,52172,43387,Castillo Silver Rum,12,1000,3,$7.34,3.00
INV-11216800023,03/30/2018,2178,Waukon,52172,28866,Tanqueray Gin,12,750,2,$19.50,1.50
INV-11216800022,03/30/2018,2178,Waukon,52172,34155,Belvedere Vodka,6,750,1,$25.73,0.75
INV-11216800021,03/30/2018,2178,Waukon,52172,5289,J & B Rare Scotch,12,1000,2,$22.47,2.00
INV-11216800020,03/30/2018,2178,Waukon,52172,5037,Glenlivet 12YR,12,1000,1,$42.72,1.00
INV-11216800019,03/30/2018,2178,Waukon,52172,10790,Crown Royal Vanilla,24,375,1,$12.00,0.37
INV-11216800018,03/30/2018,2178,Waukon,52172,10624,Canadian Club Whisky,24,375,2,$6.68,0.75
INV-11216800017,03/30/2018,2178,Waukon,52172,17826,Early Times 36 Mo Ky Str Bourbon,12,750,2,$10.53,1.50
INV-11216800016,03/30/2018,2178,Waukon,52172,15940,Tullamore Dew Irish Whisky,12,750,2,$22.50,1.50
INV-11216800015,03/30/2018,2178,Waukon,52172,78866,Paramount Creme De Cacao/white,12,750,1,$90.00,0.75
INV-11216800014,03/30/2018,2178,Waukon,52172,52598,E & J Vs,6,1750,1,$116.94,1.75
INV-11216800013,03/30/2018,2178,Waukon,52172,72722,Christian Bros Honey,12,750,1,$97.80,0.75
INV-11216800012,03/30/2018,2178,Waukon,52172,35918,Five O'clock Vodka,6,1750,4,$64.80,7.00
INV-11216100018,03/30/2018,4818,Decorah,52101,55084,Paramount Blackberry Brandy,24,375,3,$5.33,1.12
INV-11216100017,03/30/2018,4818,Decorah,52101,48099,Hennessy VS,24,200,5,$9.36,1.00
INV-11216100016,03/30/2018,4818,Decorah,52101,34003,Absolut Swedish Vodka 80 Prf,24,200,1,$143.76,0.20
INV-11216100015,03/30/2018,4818,Decorah,52101,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,1,$45.00,3.00
INV-11216100014,03/30/2018,4818,Decorah,52101,43026,Admiral Nelson Spiced Rum,12,750,1,$104.04,0.75
INV-11216100013,03/30/2018,4818,Decorah,52101,36904,Mccormick Vodka Pet,24,375,1,$64.80,0.37
INV-11216100012,03/30/2018,4818,Decorah,52101,11788,Black Velvet,6,1750,1,$94.08,1.75
INV-11216100011,03/30/2018,4818,Decorah,52101,11774,Black Velvet,24,375,1,$110.64,0.37
INV-11216100010,03/30/2018,4818,Decorah,52101,22216,Woodford Reserve Bourbon,6,750,1,$202.44,0.75
INV-11216100009,03/30/2018,4818,Decorah,52101,80485,Tippy Cow Chocolate,6,750,1,$90.00,0.75
INV-11216100008,03/30/2018,4818,Decorah,52101,10550,Black Velvet Toasted Caramel,12,750,1,$121.56,0.75
INV-11216100007,03/30/2018,4818,Decorah,52101,19476,Maker's Mark,12,750,3,$26.25,2.25
INV-11216100006,03/30/2018,4818,Decorah,52101,36965,New Amsterdam Vodka Mini,10,500,2,$8.31,1.00
INV-11216100005,03/30/2018,4818,Decorah,52101,27102,Templeton 4YR Rye,6,750,1,$162.84,0.75
INV-11216100004,03/30/2018,4818,Decorah,52101,35318,Barton Vodka,6,1750,1,$62.28,1.75
INV-11216100003,03/30/2018,4818,Decorah,52101,69656,Dr. Mcgillicuddy's Mentholmint,12,750,3,$12.99,2.25
INV-11216100002,03/30/2018,4818,Decorah,52101,43024,Admiral Nelson Spiced Rum,24,375,1,$98.64,0.37
INV-11216100001,03/30/2018,4818,Decorah,52101,36188,Gordon's Vodka 80 Prf - Pet,6,1750,1,$87.66,1.75
INV-11216000057,03/30/2018,3819,Decorah,52101,33937,Pearl Cucumber,12,1000,2,$11.25,2.00
INV-11216000056,03/30/2018,3819,Decorah,52101,34051,Absolut Raspberri,12,1000,1,$22.49,1.00
INV-11216000055,03/30/2018,3819,Decorah,52101,10627,Canadian Club Whisky,12,1000,2,$14.57,2.00
INV-11216000054,03/30/2018,3819,Decorah,52101,47786,Courvoisier Vs Cognac,12,750,1,$25.19,0.75
